"country_code"	"age"	"name"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
732	"30"	"Western Sahara"	55938.742	58594.56	61068.431	63621.685	66248.06	71497.398	76688.322	81655.073	84384.913	87015.178	89840.874	92024.188	93967.592	95134.108	95943.497	96520.931	96945.319	97250.402	97518.991	97712.758	97881.01	98027.997	98165.002	98287.476	98407.856	98513.673	98615.057	98713.228	98804.19	98885.781
732	"35"	"Western Sahara"	52454.856	55208.612	57786.775	60460.522	63224.07	68782.666	74269.377	79627.97	82595.232	85467.619	88567.243	90977.772	93142.003	94451.022	95364.624	96019.384	96502.284	96850.806	97157.77	97380.713	97574.714	97744.118	97902.156	98043.536	98182.405	98304.392	98421.178	98534.182	98638.813	98732.598
732	"40"	"Western Sahara"	48857.312	51688.793	54353.956	57131.964	60017.872	65861.504	71629.279	77354.697	80553.875	83668.687	87047.015	89691.272	92087.993	93558.738	94596.879	95348.063	95906.209	96312.659	96670.874	96933.671	97163.073	97363.255	97549.911	97716.806	97880.619	98024.411	98161.811	98294.62	98417.507	98527.584
732	"45"	"Western Sahara"	45219.032	48096.432	50819.585	53672.798	56652.339	62726.717	68733.401	74766.956	78173.372	81512.178	85155.578	88029.918	90667.726	92321.091	93510.374	94385.547	95044.571	95532.384	95962.858	96283.873	96565.551	96811.137	97039.744	97243.822	97443.979	97619.532	97786.728	97948.097	98097.325	98230.918
732	"50"	"Western Sahara"	41513.33	44393.604	47134.472	50021.351	53051.749	59271.786	65434.867	71687.93	75258.106	78783.637	82657.657	85744.937	88625.964	90483.916	91859.357	92898.702	93698.458	94306.206	94843.964	95255.79	95620.285	95937.84	96232.919	96495.888	96753.626	96979.519	97193.678	97400.006	97590.729	97761.389
732	"55"	"Western Sahara"	37103.687	39949.707	42676.346	45566.713	48620.03	54939.906	61215.178	67655.728	71382.771	75097.098	79212.282	82528.306	85679.842	87787.436	89405.609	90669.39	91667.775	92450.302	93145.201	93693.215	94182.916	94609.445	95005.144	95357.227	95702.206	96004.451	96289.686	96564.059	96817.655	97044.541
732	"60"	"Western Sahara"	32051.63	34798.75	37451.859	40285.832	43302.276	49608.362	55888.47	62421.641	66261.548	70129.593	74457.973	77994.298	81432.962	83830.157	85753.088	87314.149	88585.668	89617.304	90538.141	91288.67	91966.87	92558.049	93106.548	93594.578	94072.96	94492.209	94886.396	95265.215	95615.493	95928.981
732	"65"	"Western Sahara"	25768.557	28321.803	30815.699	33508.222	36404.391	42544.699	48695.633	55203.764	59106.951	63093.876	67613.195	71367.84	75117.303	77868.187	80192.62	82164.523	83825.439	85222.421	86477.654	87533.42	88498.302	89341.173	90123.861	90820.721	91504.818	92105.13	92668.071	93209.034	93709.843	94158.523
732	"70"	"Western Sahara"	19011.339	21215.68	23398.735	25786.497	28387.719	33997.885	39658.033	45779.121	49536.262	53437.07	57928.384	61738.798	65672.712	68732.65	71481.912	73936.879	76087.977	77973.058	79686.703	81180.373	82567.065	83786.572	84925.1	85943.775	86949.184	87835.942	88668.434	89471.218	90217.872	90889.718
732	"75"	"Western Sahara"	12003.458	13681.573	15374.563	17258.815	19346.744	23954.141	28660.456	33889.208	37190.477	40687.183	44793.15	48365.648	52202.206	55399.191	58482.53	61400.361	64074.419	66525.894	68793.871	70844.858	72787.114	74516.097	76146.027	77617.491	79084.351	80390.452	81623.261	82821.077	83944.722	84963.984
